**Number of voxels in each direction, nx, ny, nz
15, 15, 2
0	0	0	0	0	1	0	1	1	1	1	1	0	0	0
0	0	0	0	0	1	1	1	0	0	1	1	1	1	0
0	0	1	0	1	0	0	0	0	0	1	1	1	1	1
0	0	0	0	0	0	1	1	1	0	0	1	0	1	1
1	1	1	1	0	0	0	0	0	0	1	0	0	1	1
1	0	0	0	0	0	1	1	0	0	0	0	1	0	0
0	1	1	0	0	0	0	0	0	0	1	0	0	0	1
0	0	1	0	1	1	0	1	1	0	0	1	0	0	1
1	0	1	1	1	1	1	0	1	1	0	0	0	0	0
1	1	1	0	1	1	0	1	1	1	1	0	1	1	0
0	0	0	0	1	0	0	1	0	1	1	0	0	1	1
1	1	0	0	0	1	1	1	1	1	0	1	0	0	0
1	0	1	1	0	1	1	1	1	0	0	1	0	0	0
1	1	1	1	1	1	0	0	1	0	1	0	1	1	1
1	1	1	1	1	1	0	1	1	1	1	0	1	0	0
1	0	1	0	1	0	0	1	1	1	1	0	0	0	1
1	1	1	0	0	0	0	0	1	1	1	0	1	1	0
1	1	0	1	0	1	0	1	0	0	0	1	0	1	0
0	1	1	1	0	0	1	0	1	1	0	0	1	1	1
1	1	0	1	0	1	1	0	0	0	0	0	1	0	0
1	1	1	1	0	0	0	1	1	0	0	1	0	0	0
1	1	1	1	0	0	0	0	1	0	0	0	0	1	0
1	1	1	0	0	1	0	1	0	0	0	0	1	1	0
1	0	1	1	1	0	0	0	0	0	0	0	1	1	1
0	1	1	0	0	0	0	0	1	1	0	0	1	1	1
0	1	1	1	0	1	0	0	0	0	1	1	0	0	1
0	0	0	0	1	0	1	1	1	0	1	1	1	1	0
0	0	0	0	1	0	1	0	1	1	0	0	1	0	1
1	1	0	0	0	0	1	0	1	1	0	0	1	0	1
0	1	1	1	1	0	0	0	0	0	1	1	1	1	1
