node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
257,21.3333,2.66667,0.5,0.0648646,-0.0985489,-0.850498,-0.00608917,-0.451006,-2.13347,-0.496502,-1.37474,-4.67671,-1.4219,-2.63462,-6.93092,-2.69684,-4.13982,-8.74645
258,21.3333,0.0,0.5,0.0779453,-0.107459,-0.722283,0.0206286,-0.46664,-1.92394,-0.448806,-1.40032,-4.4618,-1.35908,-2.66946,-6.70403,-2.6246,-4.18193,-8.48313
261,21.3333,5.33333,0.5,0.0635314,-0.0837787,-0.984553,-0.00979008,-0.423919,-2.35581,-0.509149,-1.33119,-4.91938,-1.43759,-2.57496,-7.20073,-2.71017,-4.06638,-9.06691
263,21.3333,8.0,0.5,0.0610557,-0.0711889,-1.15729,-0.013829,-0.404895,-2.65967,-0.521555,-1.3017,-5.29083,-1.45168,-2.53681,-7.64604,-2.72067,-4.02484,-9.60707
265,21.3333,10.6667,0.5,0.0609586,-0.0669196,-1.27938,-0.0150465,-0.399296,-2.86297,-0.531222,-1.29076,-5.50915,-1.46449,-2.52082,-7.88169,-2.7316,-4.00572,-9.87668
267,21.3333,13.3333,0.5,0.0582539,-0.0427566,-1.28984,-0.0269874,-0.351848,-2.84765,-0.562665,-1.22168,-5.39981,-1.51402,-2.4329,-7.67874,-2.79554,-3.90019,-9.59591
269,21.3333,16.0,0.5,0.0560191,-0.0508872,-1.25506,-0.0398885,-0.370393,-2.75217,-0.598805,-1.25608,-5.18272,-1.57373,-2.48796,-7.34473,-2.87623,-3.97808,-9.1626
271,21.3333,18.6667,0.5,0.0591829,-0.0237493,-1.21803,-0.0413769,-0.318478,-2.66223,-0.618341,-1.18398,-4.98574,-1.61092,-2.39897,-7.04789,-2.92762,-3.87314,-8.7843
273,21.3333,21.3333,0.5,0.0598017,-0.0303745,-1.16254,-0.0477714,-0.334628,-2.54352,-0.645102,-1.21529,-4.76107,-1.65683,-2.44865,-6.72991,-2.98839,-3.94174,-8.39337
275,21.3333,24.0,0.5,0.0595409,-0.00702994,-1.03265,-0.0607014,-0.296368,-2.27823,-0.691483,-1.17603,-4.3223,-1.74044,-2.41721,-6.13193,-3.1084,-3.92256,-7.65674
277,21.3333,26.6667,0.5,0.0501219,0.00186371,-0.847326,-0.0949446,-0.292786,-1.9077,-0.77611,-1.19882,-3.7371,-1.88225,-2.48032,-5.35098,-3.30909,-4.03503,-6.70213
279,21.3333,29.3333,0.5,0.0482984,-0.00670962,-0.636642,-0.116123,-0.327682,-1.48732,-0.845777,-1.28479,-3.08328,-2.00837,-2.633,-4.48841,-3.49351,-4.26423,-5.65721
281,21.3333,32.0,0.5,0.0388627,-0.00972806,-0.425629,-0.153364,-0.352166,-1.06022,-0.941301,-1.3569,-2.41575,-2.17126,-2.76971,-3.60527,-3.72689,-4.47706,-4.58386
283,21.3333,34.6667,0.5,0.0240332,0.0153488,-0.243906,-0.198865,-0.315993,-0.68621,-1.0437,-1.33088,-1.82095,-2.33716,-2.76696,-2.8112,-3.95801,-4.50655,-3.61111
285,21.3333,37.3333,0.5,0.0271065,0.0151104,-0.0982815,-0.206075,-0.325749,-0.384609,-1.08068,-1.36475,-1.33726,-2.40622,-2.83248,-2.16947,-4.05776,-4.60776,-2.83258
287,21.3333,40.0,0.5,0.0329174,0.0219016,-0.00232823,-0.205139,-0.31654,-0.175633,-1.09649,-1.3616,-0.985395,-2.43708,-2.83902,-1.69715,-4.09993,-4.62528,-2.2584
289,24.0,2.66667,0.5,0.0694222,-0.0870829,-0.769203,0.00406498,-0.428621,-2.04429,-0.47802,-1.33928,-4.64126,-1.3962,-2.59052,-6.93283,-2.66494,-4.09415,-8.78976
290,24.0,0.0,0.5,0.0664406,-0.0845404,-0.663428,-0.000582173,-0.422322,-1.88119,-0.476111,-1.33258,-4.5095,-1.39352,-2.58237,-6.82315,-2.66784,-4.08337,-8.67685
293,24.0,5.33333,0.5,0.0748542,-0.0804101,-0.882744,0.013511,-0.416906,-2.22538,-0.472236,-1.31825,-4.80996,-1.38836,-2.5608,-7.10011,-2.64913,-4.05728,-8.98158
295,24.0,8.0,0.5,0.0739903,-0.0811573,-1.0305,0.0116147,-0.422404,-2.47675,-0.482752,-1.32306,-5.08976,-1.40071,-2.56593,-7.41906,-2.65719,-4.06603,-9.363
297,24.0,10.6667,0.5,0.0660321,-0.0685525,-1.13193,-0.00618595,-0.398886,-2.6356,-0.51872,-1.28463,-5.2278,-1.44951,-2.51309,-7.54312,-2.71312,-3.99973,-9.49203
299,24.0,13.3333,0.5,0.0587111,-0.0473542,-1.13229,-0.0286569,-0.357655,-2.59319,-0.569713,-1.22737,-5.06044,-1.52974,-2.44483,-7.25454,-2.82072,-3.92306,-9.09903
301,24.0,16.0,0.5,0.0566236,-0.0459673,-1.10452,-0.0413139,-0.356915,-2.50226,-0.607334,-1.23332,-4.83124,-1.59331,-2.46317,-6.89427,-2.90818,-3.95657,-8.62603
303,24.0,18.6667,0.5,0.0598546,-0.0207865,-1.0947,-0.0417692,-0.308196,-2.4545,-0.624808,-1.16445,-4.67595,-1.6268,-2.37744,-6.64001,-2.95407,-3.85523,-8.29072
305,24.0,21.3333,0.5,0.0671235,-0.0250692,-1.06275,-0.0349541,-0.319705,-2.36822,-0.632684,-1.18863,-4.47749,-1.64848,-2.41807,-6.34342,-2.98576,-3.91357,-7.91664
307,24.0,24.0,0.5,0.0620364,-0.011924,-0.923182,-0.0587714,-0.303974,-2.07136,-0.699146,-1.18919,-3.97477,-1.76341,-2.44706,-5.6544,-3.14977,-3.97788,-7.06541
309,24.0,26.6667,0.5,0.0575943,0.000942386,-0.731543,-0.084417,-0.295371,-1.67491,-0.774952,-1.2116,-3.33306,-1.89803,-2.51751,-4.79202,-3.34551,-4.107,-6.00962
311,24.0,29.3333,0.5,0.0479413,-0.00859536,-0.555038,-0.11984,-0.328465,-1.31118,-0.862974,-1.29053,-2.74834,-2.0452,-2.65498,-4.01414,-3.55251,-4.30992,-5.0667
313,24.0,32.0,0.5,0.0459617,-0.00473697,-0.38385,-0.139776,-0.334575,-0.952711,-0.927526,-1.32921,-2.16569,-2.16124,-2.73968,-3.23287,-3.72137,-4.44888,-4.11244
315,24.0,34.6667,0.5,0.0452075,0.0122769,-0.209188,-0.157538,-0.315306,-0.582155,-0.989759,-1.33151,-1.56105,-2.27565,-2.77834,-2.41767,-3.89032,-4.53398,-3.10908
317,24.0,37.3333,0.5,0.0338621,0.0248872,-0.0693733,-0.194296,-0.300022,-0.281919,-1.07338,-1.33056,-1.06589,-2.40981,-2.80079,-1.75348,-4.07448,-4.58497,-2.29865
319,24.0,40.0,0.5,0.0294998,0.0194166,0.0107726,-0.214361,-0.314851,-0.0991133,-1.12152,-1.36292,-0.746538,-2.48459,-2.85361,-1.32505,-4.17212,-4.65845,-1.78419
321,26.6667,2.66667,0.5,0.0665584,-0.0804694,-0.722151,-0.000276085,-0.41641,-2.02258,-0.482977,-1.3145,-4.68488,-1.40235,-2.55694,-7.02323,-2.67321,-4.05924,-8.93123
322,26.6667,0.0,0.5,0.0534392,-0.0898422,-0.611023,-0.0247193,-0.433818,-1.85319,-0.509289,-1.3444,-4.55974,-1.4365,-2.5978,-6.93304,-2.72212,-4.10958,-8.85149
325,26.6667,5.33333,0.5,0.0753742,-0.0832618,-0.81176,0.0154915,-0.422788,-2.15147,-0.468535,-1.32137,-4.76009,-1.38392,-2.56582,-7.05696,-2.64453,-4.07114,-8.9492
327,26.6667,8.0,0.5,0.0779773,-0.0857963,-0.899822,0.0187011,-0.428737,-2.27924,-0.473521,-1.32743,-4.84037,-1.3921,-2.57337,-7.10323,-2.64996,-4.08122,-8.98656
329,26.6667,10.6667,0.5,0.0789144,-0.0750679,-0.967836,0.016363,-0.407986,-2.36583,-0.490304,-1.2951,-4.85635,-1.42058,-2.53196,-7.05838,-2.6861,-4.03227,-8.90147
331,26.6667,13.3333,0.5,0.0807123,-0.0445543,-0.99276,0.0134757,-0.3476,-2.36847,-0.511566,-1.20712,-4.74523,-1.45988,-2.4209,-6.84068,-2.74092,-3.90064,-8.5952
333,26.6667,16.0,0.5,0.079068,-0.0499528,-1.00311,0.00337628,-0.359134,-2.34827,-0.543257,-1.22751,-4.6116,-1.51209,-2.45402,-6.60477,-2.8103,-3.94823,-8.27631
335,26.6667,18.6667,0.5,0.0733394,-0.0188239,-1.02051,-0.014347,-0.297491,-2.34595,-0.585844,-1.13696,-4.50834,-1.5778,-2.33744,-6.41094,-2.89521,-3.80684,-8.00964
337,26.6667,21.3333,0.5,0.0716773,-0.0193076,-0.994023,-0.0259358,-0.30027,-2.25918,-0.622709,-1.14799,-4.28997,-1.64001,-2.36148,-6.07545,-2.97993,-3.84608,-7.5764
339,26.6667,24.0,0.5,0.0772823,-0.00726633,-0.858063,-0.0287994,-0.286942,-1.95758,-0.659234,-1.1549,-3.76188,-1.71709,-2.40251,-5.34306,-3.09894,-3.92931,-6.66548
341,26.6667,26.6667,0.5,0.0604777,-0.00910828,-0.672303,-0.0793248,-0.30778,-1.56414,-0.772582,-1.22371,-3.11549,-1.90179,-2.53627,-4.47646,-3.35672,-4.13741,-5.61217
343,26.6667,29.3333,0.5,0.0558145,0.00289802,-0.496732,-0.105516,-0.299021,-1.18774,-0.849384,-1.24504,-2.48969,-2.03789,-2.60356,-3.62976,-3.55436,-4.25993,-4.57352
345,26.6667,32.0,0.5,0.0609125,0.00227007,-0.33351,-0.111238,-0.313752,-0.836109,-0.892688,-1.29764,-1.90511,-2.12569,-2.70766,-2.84078,-3.68773,-4.42359,-3.60761
347,26.6667,34.6667,0.5,0.0484578,0.0130754,-0.182976,-0.151451,-0.304521,-0.506628,-0.986128,-1.31214,-1.353,-2.27865,-2.75868,-2.09318,-3.90136,-4.51914,-2.68918
349,26.6667,37.3333,0.5,0.0409015,0.0323527,-0.0487515,-0.181004,-0.276207,-0.208795,-1.06045,-1.29336,-0.849039,-2.40227,-2.75914,-1.41125,-4.07414,-4.54402,-1.85414
351,26.6667,40.0,0.5,0.027057,0.0344273,0.0318216,-0.221352,-0.276716,-0.0189902,-1.1424,-1.30628,-0.511092,-2.5258,-2.78804,-0.956704,-4.23614,-4.58906,-1.30968
353,29.3333,2.66667,0.5,0.0700692,-0.0888031,-0.648359,0.00800458,-0.431475,-1.94317,-0.46847,-1.32869,-4.623,-1.38223,-2.57382,-6.95844,-2.64773,-4.08466,-8.86678
354,29.3333,0.0,0.5,0.0610323,-0.102255,-0.528722,-0.00763904,-0.456945,-1.7609,-0.479611,-1.37182,-4.49025,-1.39416,-2.63288,-6.86465,-2.66668,-4.15811,-8.78783
357,29.3333,5.33333,0.5,0.0774887,-0.0828864,-0.737795,0.0206555,-0.419974,-2.06727,-0.46018,-1.30807,-4.67645,-1.37329,-2.54607,-6.9536,-2.63188,-4.05079,-8.82842
359,29.3333,8.0,0.5,0.0854996,-0.0877578,-0.780207,0.0328703,-0.429384,-2.0992,-0.45481,-1.32262,-4.60015,-1.37248,-2.56915,-6.78422,-2.63132,-4.08332,-8.59155
361,29.3333,10.6667,0.5,0.0917914,-0.072272,-0.84456,0.0410801,-0.398238,-2.17453,-0.456574,-1.27428,-4.58793,-1.3816,-2.5064,-6.69682,-2.64358,-4.00754,-8.45105
363,29.3333,13.3333,0.5,0.0944407,-0.0457543,-0.903262,0.0410346,-0.345017,-2.24152,-0.472029,-1.19319,-4.56594,-1.4101,-2.40015,-6.59761,-2.68108,-3.8775,-8.29494
365,29.3333,16.0,0.5,0.0912399,-0.0547613,-0.919781,0.0278873,-0.36323,-2.22876,-0.508798,-1.22361,-4.43483,-1.46955,-2.44698,-6.36367,-2.75999,-3.9426,-7.97954
367,29.3333,18.6667,0.5,0.0908747,-0.0221719,-0.941225,0.020522,-0.297755,-2.22712,-0.536865,-1.127,-4.31948,-1.51702,-2.32263,-6.14702,-2.82336,-3.79207,-7.67967
369,29.3333,21.3333,0.5,0.0915949,-0.0153185,-0.920624,0.0133822,-0.284925,-2.14246,-0.568241,-1.11468,-4.08792,-1.57365,-2.31653,-5.78373,-2.90337,-3.79519,-7.20355
371,29.3333,24.0,0.5,0.0807918,-0.00621194,-0.806299,-0.0219025,-0.275164,-1.87398,-0.65235,-1.12516,-3.59466,-1.71299,-2.36075,-5.09017,-3.09899,-3.88099,-6.33627
373,29.3333,26.6667,0.5,0.0762209,-0.0138196,-0.63176,-0.0477749,-0.306235,-1.49297,-0.728561,-1.2096,-2.95167,-1.84829,-2.51557,-4.22041,-3.2952,-4.11524,-5.27461
375,29.3333,29.3333,0.5,0.0656469,0.0117231,-0.452018,-0.0865395,-0.272274,-1.09739,-0.826336,-1.19865,-2.28337,-2.01522,-2.54639,-3.31089,-3.53445,-4.19919,-4.15495
377,29.3333,32.0,0.5,0.0645792,0.0171285,-0.298863,-0.104759,-0.274491,-0.75788,-0.888672,-1.23301,-1.70614,-2.12896,-2.62629,-2.52806,-3.70094,-4.33177,-3.19666
379,29.3333,34.6667,0.5,0.072539,0.0175059,-0.177295,-0.103232,-0.28285,-0.479852,-0.916306,-1.26845,-1.22149,-2.19024,-2.69835,-1.86651,-3.79551,-4.44524,-2.38485
381,29.3333,37.3333,0.5,0.059852,0.0389892,-0.0486513,-0.143032,-0.250174,-0.186822,-1.00649,-1.24419,-0.716362,-2.33539,-2.69237,-1.18093,-3.99515,-4.46229,-1.54646
383,29.3333,40.0,0.5,0.0511787,0.0476756,0.0468671,-0.174173,-0.239521,0.0393954,-1.07906,-1.24531,-0.313809,-2.45167,-2.71097,-0.635849,-4.15344,-4.49981,-0.887632
385,32.0,2.66667,0.5,0.0813,-0.098912,-0.556718,0.031349,-0.448827,-1.82585,-0.43204,-1.34612,-4.4905,-1.33388,-2.59549,-6.78983,-2.58771,-4.11592,-8.66512
386,32.0,0.0,0.5,0.062496,-0.118511,-0.430206,-0.00406924,-0.48665,-1.63118,-0.472817,-1.40909,-4.34501,-1.38582,-2.6819,-6.68035,-2.65749,-4.22414,-8.56614
389,32.0,5.33333,0.5,0.0887008,-0.0885265,-0.664344,0.0438435,-0.428343,-1.98245,-0.425087,-1.31008,-4.58258,-1.32733,-2.54565,-6.83096,-2.57539,-4.05335,-8.68009
391,32.0,8.0,0.5,0.08989,-0.0882478,-0.704581,0.0417972,-0.426999,-2.00638,-0.442562,-1.30904,-4.48359,-1.35845,-2.54901,-6.62595,-2.61607,-4.06218,-8.39526
393,32.0,10.6667,0.5,0.098983,-0.0674549,-0.765335,0.0555007,-0.384578,-2.07194,-0.436492,-1.24363,-4.44792,-1.35747,-2.46346,-6.5043,-2.61575,-3.95739,-8.21147
395,32.0,13.3333,0.5,0.0957682,-0.0564686,-0.817374,0.0435933,-0.362123,-2.1225,-0.470153,-1.20966,-4.39594,-1.41072,-2.42127,-6.36682,-2.68448,-3.90823,-8.01183
397,32.0,16.0,0.5,0.101527,-0.0422687,-0.822713,0.047682,-0.333886,-2.0807,-0.483443,-1.17287,-4.20705,-1.44197,-2.38193,-6.04737,-2.73144,-3.86927,-7.58351
399,32.0,18.6667,0.5,0.112294,-0.0252959,-0.825943,0.0613173,-0.300084,-2.03569,-0.483095,-1.12742,-4.01745,-1.45549,-2.33044,-5.72965,-2.75659,-3.81453,-7.15826
401,32.0,21.3333,0.5,0.104887,-0.0179313,-0.794015,0.0368496,-0.287345,-1.9213,-0.543451,-1.11968,-3.73116,-1.55438,-2.33593,-5.29105,-2.89321,-3.83788,-6.58915
403,32.0,24.0,0.5,0.100213,-0.0137473,-0.70859,0.0149894,-0.285035,-1.70355,-0.605185,-1.1372,-3.30211,-1.66102,-2.38464,-4.67702,-3.04496,-3.92387,-5.81698
405,32.0,26.6667,0.5,0.0951842,-0.00430808,-0.552299,-0.0115318,-0.280629,-1.34794,-0.682361,-1.16794,-2.6798,-1.79786,-2.46806,-3.82243,-3.24364,-4.06975,-4.76353
407,32.0,29.3333,0.5,0.0955541,0.00660354,-0.380551,-0.0283131,-0.275629,-0.96091,-0.746988,-1.20136,-2.01492,-1.92053,-2.55892,-2.91429,-3.42755,-4.22935,-3.64502
409,32.0,32.0,0.5,0.07984,0.0248988,-0.267303,-0.074766,-0.248193,-0.689588,-0.848355,-1.18515,-1.52459,-2.08264,-2.56507,-2.23569,-3.65103,-4.26356,-2.80596
411,32.0,34.6667,0.5,0.0726625,0.0348149,-0.181934,-0.103197,-0.234175,-0.478894,-0.91815,-1.1808,-1.13417,-2.19661,-2.57624,-1.69943,-3.8076,-4.29138,-2.15398
413,32.0,37.3333,0.5,0.0752829,0.0386422,-0.0599703,-0.11193,-0.236492,-0.195567,-0.960901,-1.20889,-0.638287,-2.2774,-2.6394,-1.02628,-3.92529,-4.39344,-1.33417
415,32.0,40.0,0.5,0.063999,0.0519844,0.0401337,-0.148597,-0.217628,0.0463297,-1.04374,-1.20096,-0.202522,-2.40968,-2.64981,-0.431654,-4.10572,-4.42469,-0.610425
417,34.6667,2.66667,0.5,0.0942371,-0.106785,-0.446409,0.0574387,-0.461435,-1.67115,-0.392929,-1.35839,-4.29532,-1.2839,-2.61266,-6.5358,-2.5274,-4.14343,-8.35788
418,34.6667,0.0,0.5,0.093185,-0.133221,-0.336411,0.0579947,-0.51399,-1.51008,-0.378788,-1.44268,-4.20335,-1.26126,-2.72663,-6.49626,-2.50277,-4.28605,-8.34346
421,34.6667,5.33333,0.5,0.102796,-0.0870747,-0.545516,0.07155,-0.421949,-1.80864,-0.38521,-1.29456,-4.35182,-1.2784,-2.52695,-6.52677,-2.5186,-4.03694,-8.3091
