node_label,x_coord,y_coord,z_coord,f1_x_disp,f1_y_disp,f1_z_disp,f2_x_disp,f2_y_disp,f2_z_disp,f3_x_disp,f3_y_disp,f3_z_disp,f4_x_disp,f4_y_disp,f4_z_disp,f5_x_disp,f5_y_disp,f5_z_disp
1,0.0,0.0,0.5,6.3071e-41,3.84979e-41,1.57702e-41,1.28837e-40,7.67365e-41,4.64811e-42,1.93591e-40,1.08997e-40,-3.10906e-41,2.549e-40,1.33893e-40,-8.7001e-41,3.039e-40,1.4414e-40,-1.60206e-40
2,0.0,2.66667,0.5,7.69958e-05,-0.0104873,-0.146871,-0.0253587,-0.0534293,-0.460738,-0.0687849,-0.122854,-0.728744,-0.129077,-0.212581,-0.965578,-0.207328,-0.320836,-1.17914
5,2.66667,2.66667,0.5,-0.0095017,-0.017146,-0.444443,-0.0988241,-0.127166,-1.13549,-0.24062,-0.305362,-1.71038,-0.435389,-0.538906,-2.22174,-0.685915,-0.82324,-2.67882
8,2.66667,0.0,0.5,-0.0230332,-0.0282914,-0.289882,-0.0991715,-0.11574,-0.656163,-0.205969,-0.241336,-0.940894,-0.343621,-0.397135,-1.18626,-0.512503,-0.579433,-1.39592
9,0.0,5.33333,0.5,-0.0076599,-0.0029389,-0.309266,-0.0733136,-0.0752462,-0.959505,-0.17809,-0.203682,-1.51267,-0.319392,-0.375124,-2.00031,-0.499186,-0.585504,-2.43809
11,2.66667,5.33333,0.5,-0.0069363,-0.0181414,-0.603641,-0.123541,-0.1631,-1.61902,-0.313659,-0.405067,-2.47538,-0.5769,-0.725223,-3.23798,-0.917393,-1.11722,-3.92268
13,0.0,8.0,0.5,-0.0178563,-0.00220017,-0.510553,-0.141036,-0.122079,-1.54203,-0.333993,-0.335964,-2.41114,-0.592243,-0.621805,-3.16868,-0.917649,-0.971343,-3.83594
15,2.66667,8.0,0.5,-0.0211826,-0.0135756,-0.813215,-0.198757,-0.200738,-2.20322,-0.481454,-0.522439,-3.37674,-0.866818,-0.95102,-4.41227,-1.35851,-1.47566,-5.32994
17,0.0,10.6667,0.5,-0.0394391,-0.00542771,-0.745661,-0.242364,-0.185701,-2.19651,-0.552029,-0.502777,-3.40322,-0.961328,-0.923495,-4.4405,-1.4705,-1.43336,-5.3346
19,2.66667,10.6667,0.5,-0.0330472,-0.0135972,-1.04249,-0.27586,-0.254503,-2.83335,-0.659797,-0.671649,-4.34004,-1.18051,-1.22757,-5.65823,-1.84079,-1.90609,-6.81156
21,0.0,13.3333,0.5,-0.0462583,0.0188742,-0.993077,-0.316375,-0.199589,-2.89753,-0.734336,-0.603013,-4.47689,-1.29255,-1.14814,-5.83395,-1.99097,-1.81489,-6.99847
23,2.66667,13.3333,0.5,-0.0445735,-0.00461011,-1.26551,-0.349507,-0.289858,-3.46312,-0.83039,-0.792283,-5.30576,-1.48211,-1.46539,-6.9117,-2.30715,-2.28818,-8.3087
25,0.0,16.0,0.5,-0.0452369,-0.00280404,-1.22959,-0.368542,-0.30281,-3.57469,-0.876175,-0.831466,-5.50181,-1.5595,-1.53466,-7.14834,-2.41674,-2.38556,-8.54943
27,2.66667,16.0,0.5,-0.0612103,-0.0141771,-1.50635,-0.433877,-0.368617,-4.12868,-1.01909,-0.983581,-6.31369,-1.81084,-1.80221,-8.20614,-2.81015,-2.79712,-9.83755
29,0.0,18.6667,0.5,-0.0678301,-0.0223205,-1.44304,-0.460068,-0.395928,-4.20929,-1.06888,-1.03746,-6.46388,-1.88535,-1.88293,-8.38196,-2.90586,-2.89905,-10.004
31,2.66667,18.6667,0.5,-0.074762,-0.0195973,-1.72913,-0.504929,-0.434841,-4.7669,-1.18167,-1.15174,-7.2885,-2.09948,-2.10488,-9.46792,-3.25859,-3.26145,-11.34
33,0.0,21.3333,0.5,-0.0832283,-0.00992456,-1.60423,-0.524848,-0.411775,-4.7547,-1.20977,-1.1155,-7.31904,-2.13192,-2.05189,-9.51105,-3.28889,-3.1851,-11.3758
